"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
107,"YEL","44",4,0,165,0,3,3,1,0,0,0,0,0,NA,3.63636363636364,0,0,165,89.6739130434783,10,0,5,10,5,NA,0,0,0,0,0,0,30,"Poor"
108,"YEL","49",9,5,303,1,4,6,3,5,1.65016501650165,0,0,5,0,3.3003300330033,1.65016501650165,1.71232876712329,298,102.054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
109,"YEL","50",10,3,63,2,4,5,4,3,4.76190476190476,0,0,3,0,6.34920634920635,4.76190476190476,2.5,60,50,0,5,0,0,0,0,0,0,0,0,0,5,10,"Poor"
110,"YEL","53",6,0,113,0,2,2,2,0,0,0,0,0,NA,0,0,0,113,113,5,0,5,5,5,NA,0,0,10,0,0,0,30,"Poor"
111,"YEL","54",14,0,833,0,5,8,4,0,0,0,0,0,NA,8.5234093637455,0,0,833,277.666666666667,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
112,"YEL","58",16,4,308,1,6,8,4,4,1.2987012987013,0,0,4,0,20.1298701298701,1.2987012987013,1.33333333333333,304,101.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
114,"YEL","81",8,16,114,1,4,4,3,16,14.0350877192982,0,0,16,0,5.26315789473684,14.0350877192982,6.25,98,38.28125,5,0,0,0,0,0,0,0,0,0,0,5,10,"Poor"
115,"YEL","85",7,0,446,0,3,6,1,0,0,0,0,0,NA,0,0,0,446,247.777777777778,5,0,0,10,5,NA,0,0,10,0,0,0,30,"Poor"
116,"YEL","89",3,0,31,0,2,2,0,0,0,0,0,0,NA,0,0,0,31,26.7241379310345,10,0,5,10,5,NA,0,0,10,0,0,5,45,"Fair"
117,"YEL","97",3,349,352,1,1,1,0,349,99.1477272727273,0,0,349,0,0,99.1477272727273,144.214876033058,3,1.2396694214876,10,0,10,10,10,0,0,10,10,10,10,10,90,"Good"
118,"YEL","106",10,0,116,0,3,6,2,0,0,0,0,0,NA,0,0,0,116,62.3655913978495,0,0,0,5,5,NA,0,0,10,0,0,0,20,"Poor"
119,"YEL","109",4,0,129,0,2,3,0,0,0,0,0,0,NA,0,0,0,129,96.2686567164179,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
120,"YEL","118",9,0,60,0,5,6,2,0,0,0,0,0,NA,10,0,0,60,43.4782608695652,0,0,0,5,0,NA,0,0,0,0,0,5,10,"Poor"
121,"YEL","118b",8,13,118,1,4,3,3,13,11.0169491525424,0,0,13,0,47.4576271186441,11.0169491525424,6.25,105,50.4807692307692,5,0,5,0,0,0,0,0,0,0,0,5,15,"Poor"
