FID,FID_1,newID,Xcoord,Ycoord,HUC8,site,BKT,BRT,Trout_Stat,FID_2,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,IGS_name
64,44,LMAQ_17,648059.491635999991558,4745626.690879999659956,LMAQ,17,0,1,1,11,07060003,0706000307,070600030703,22619.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Buck Creek,TF,S,IA01,IA,Buck Creek-Mississippi River
65,84,LMAQ_28b,645307.785537000047043,4751402.736229999922216,LMAQ,0,0,0,0,11,07060003,0706000307,070600030703,22619.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Buck Creek,TF,S,IA01,IA,Buck Creek-Mississippi River
66,92,LMAQ_9,650847.915063000051305,4748613.101660000160336,LMAQ,9,0,0,0,11,07060003,0706000307,070600030703,22619.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Buck Creek,TF,S,IA01,IA,Buck Creek-Mississippi River
67,93,UPI_112,597554.224402999971062,4785373.790500000119209,UPI,112,0,0,0,12,07060002,0706000204,070600020402,11421.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020403,Community of Nordness,TF,S,IA01,IA,Unnamed Creek-Trout Creek
68,59,UPI_48,592842.015004000044428,4786417.477160000242293,UPI,48,0,0,0,13,07060002,0706000204,070600020403,20501.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Trout Creek,TF,S,IA01,IA,Trout Creek-Upper Iowa River
69,63,UPI_96,595823.760845000040717,4787549.825539999641478,UPI,96,0,0,0,13,07060002,0706000204,070600020403,20501.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Trout Creek,TF,S,IA01,IA,Trout Creek-Upper Iowa River
70,66,UPI_128,604638.732015999965370,4784170.678869999945164,UPI,128,0,0,0,13,07060002,0706000204,070600020403,20501.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Trout Creek,TF,S,IA01,IA,Trout Creek-Upper Iowa River
71,17,UPI_123,606312.881484000012279,4793132.079509999603033,UPI,123,0,1,1,14,07060002,0706000204,070600020405,9353.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020406,Trout Creek-Trout River,TF,S,IA01,IA,Trout Creek-Trout River
72,52,UPI_11,605640.747388000017963,4792396.933980000205338,UPI,11,0,0,0,14,07060002,0706000204,070600020405,9353.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020406,Trout Creek-Trout River,TF,S,IA01,IA,Trout Creek-Trout River
73,54,UPI_16,607000.024668000056408,4784168.782340000383556,UPI,16,0,0,0,14,07060002,0706000204,070600020405,9353.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020406,Trout Creek-Trout River,TF,S,IA01,IA,Trout Creek-Trout River
74,64,UPI_108,605375.923316000029445,4785175.701899999752641,UPI,108,0,0,0,14,07060002,0706000204,070600020405,9353.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020406,Trout Creek-Trout River,TF,S,IA01,IA,Trout Creek-Trout River
75,24,YEL_1,625611.080973000032827,4770069.296459999866784,YEL,1,0,1,1,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
76,26,YEL_17,621841.071867999969982,4770733.782840000465512,YEL,17,0,1,1,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
77,29,YEL_52,625892.698926000040956,4769759.919920000247657,YEL,52,0,1,1,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
