"uid","HUC8","Site","OutletX","OutletY","HAiFLS_alt","HAiFLS_bmp","HAiFLS_ag","HAiFLS_dev","HAiFLS_for","HAiFLS_pas","Easting","Northing","YrSmpld","Order","SegLen","elev_m","Sinuosity","pctSlope","dgreSlope","CatArea_km2"
"UPI_96","UPI",96,-91.820855472,43.23717654,84.6182861,14.9041452,26.2927151,6.5227089,8.7269726,51.8028603,595823.760845,4787549.82554,2018,4,1312.76509383,311.272399902,2.05726320864,0.337038889217,0.00337037613026,20.3925576266
"UPI_108","UPI",108,-91.700360268,43.22542456,99.2879639,0.7120367,71.3130417,3.2473669,0.2732082,24.7275524,605375.923316,4785175.7019,2018,3,89.6842445799,338.003601074,0.999999985798,33.9861530325,0.327614380285,7.16108232991
"UPI_3232","UPI",3232,-91.652690681,43.219422133,95.5999222,4.3990974,72.8276672,6.3893757,2.6046841,16.3828812,609452.566199,4785924.81474,2018,2,559.512434082,345.842590332,1.26617589912,0.959905133078,0.0095987565225,5.33973929184
"UPI_48","UPI",48,-91.820895332,43.237250529,81.6328583,18.3671436,48.0847778,1.4141521,14.5001488,32.1339264,592842.015004,4786417.47716,2018,2,554.644680609,338.525939941,1.08658031013,0.429827,0.004298,5.49087357086
"UPI_16","UPI",16,-91.696421251,43.204197504,98.2360916,1.7639065,61.2893448,0.8135203,0.4850812,36.1332283,607000.024668,4784168.78234,2018,2,662.559421074,354.14453125,1.12274112027,0.37087622828,0.00370874527837,3.28467176026
"UPI_128","UPI",128,-91.725141285,43.222807235,98.7795792,1.2204174,86.3887863,0.9425466,1.4e-06,11.4482517,604638.732016,4784170.67887,2018,3,1795.72436939,350.073059082,1.39923294488,2.58586134024,0.0258528521055,5.43988959016
"UPI_157","UPI",157,-91.6447068,43.495097534,70.9686203,28.9041824,28.7696514,3.8053176,21.1315403,38.3936501,610163.18218,4816907.32839,2018,3,231.678783996,293.397827148,1.06611349711,3.62957967923,0.0362798708676,29.216932805
"UPI_35","UPI",35,-91.519187364,43.479262205,81.0025711,18.997427,34.4313202,5.8393698,18.2874947,40.731884,619846.057931,4816718.38236,2018,3,1246.18054544,251.998901367,1.9714159288,5.25571002239,0.0525087883396,14.8796878862
"UPI_163","UPI",163,-91.504349281,43.469928399,59.1982231,40.801712,20.7221489,5.204968,40.6095695,33.2711029,621497.356279,4815118.42693,2018,3,1035.83545397,244.87701416,1.31876280403,2.49079588009,0.0249028096984,11.2180347874
"UPI_109","UPI",109,-91.605918464,43.464550354,74.9416809,25.0583153,0.0531152,0.0523104,24.677969,74.8362579,613456.340385,4812413.90671,2018,3,453.832419348,247.553726196,1.07122433464,3.65059114232,0.0364897074596,6.05342841518
"UPI_29","UPI",29,-91.728179525,43.462992536,81.0785141,18.9214821,22.5819244,3.9218295,16.0648403,54.5747643,599724.84205,4814376.53877,2018,2,497.194036424,365.656646729,1.32056700236,9.38336555108,0.0935597071769,2.92326900313
"UPI_61","UPI",61,-91.598160389,43.454839385,62.6055145,37.1824532,0.1207526,6.3023195,34.8816223,56.1824417,612699.546499,4813349.14448,2018,2,419.400673193,269.590026855,1.07200538205,0.0277088105546,0.000277088098455,1.42496221662
"UPI_18","UPI",18,-91.706806564,43.451150426,85.1287079,14.8607607,43.0702248,3.2313552,6.680882,38.8271255,604313.986459,4812089.15452,2018,4,918.215188446,315.906982422,1.30640810065,10.2294417028,0.101939832669,16.5727510056
"UPI_130","UPI",130,-91.668968054,43.440904947,52.8709679,47.1277695,11.2023516,5.6553631,39.1104546,36.0132523,607593.694824,4810319.11704,2018,3,758.913489887,291.23840332,1.17347951641,8.34030296968,0.083210447188,7.57489106938
"UPI_170","UPI",170,-91.654999184,43.439610785,30.5983658,69.4016342,19.0930767,0.0980898,69.2333908,11.4071989,608772.147617,4809759.40298,2018,1,2290.06414569,300.602783203,1.18966644869,0.639089772191,0.00639081071501,1.43543310046
"UPI_14","UPI",14,-91.343852073,43.46809835,25.2236767,74.7287979,0.3643101,0.1114655,72.1483536,24.7479,633960.023685,4814260.27572,2018,3,381.568403274,201.243164063,1.10887847378,7.55066907722,0.0753636852074,10.7978725133
