"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","numIntolSP","pctTOLindv","pctTC_noRBT","pctCW_noRBT","pctBKT_noRBT","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","ML1_numIntolSp","ML2_pctTolindv","ML3_pctTCnoRBT","ML4_pctCWnoRBT","ML5_pctBKTnoRBT","IBIScore_M","Rating_M","IBIScore_L","Rating_L"
59,"YEL","52",6,1,26,2,3,4,0,13,50,0,0,1,0,0,3.84615384615385,13,13,13,0,46.1538461538462,3.84615384615385,50,0,5,5,0,10,5,0,0,5,10,0,0,10,0,0,0,10,0,50,"Fair",10,"Poor"
62,"YEL","65",9,16,84,1,4,6,3,16,19.047619047619,0,0,16,0,10.7142857142857,19.047619047619,11.1111111111111,68,47.2222222222222,0,57.1428571428571,19.047619047619,19.047619047619,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,10,"Poor",10,"Poor"
63,"YEL","73",13,3,155,1,3,7,4,2,1.29032258064516,0,0,2,0,25.1612903225806,1.93548387096774,0.833333333333333,153,63.75,0,51.6129032258064,1.93548387096774,1.29032258064516,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,"Very Poor",0,"Very Poor"
64,"YEL","77",12,4,279,1,5,8,4,4,1.4336917562724,0,0,4,0,17.2043010752688,1.4336917562724,3.57142857142857,275,245.535714285714,0,45.1612903225806,1.4336917562724,1.4336917562724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
67,"YEL","101",9,0,311,1,4,5,3,7,2.2508038585209,0,0,0,NA,2.2508038585209,0,6.36363636363636,304,276.363636363636,0,58.1993569131833,0,2.2508038585209,0,5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,5,"Very Poor",0,"Very Poor"
68,"YEL","103",4,43,64,3,1,1,0,43,67.1875,37,57.8125,43,86.046511627907,0,67.1875,20.6730769230769,21,10.0961538461538,1,32.8125,67.1875,67.1875,86.046511627907,10,5,10,10,10,5,10,5,10,5,0,10,10,0,20,10,10,90,"Good",50,"Fair"
69,"YEL","105",2,0,30,1,1,1,0,29,96.6666666666667,0,0,0,NA,0,0,29,1,1,0,3.33333333333333,0,96.6666666666667,0,10,0,10,10,10,NA,0,10,10,0,0,10,0,20,0,20,0,70,"Good",40,"Fair"
71,"YEL","119",8,15,314,1,4,5,2,3,0.955414012738854,0,0,0,NA,24.5222929936306,4.77707006369427,1.25,311,129.583333333333,0,86.6242038216561,4.77707006369427,0.955414012738854,0,5,0,0,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,10,"Poor",0,"Very Poor"
73,"YEL","129",7,0,42,1,3,4,2,12,28.5714285714286,0,0,0,NA,14.2857142857143,0,10,30,25,0,61.9047619047619,0,28.5714285714286,0,5,0,0,5,5,NA,0,0,0,0,0,5,0,0,0,0,0,20,"Poor",0,"Very Poor"
74,"YEL","150",2,0,44,1,1,1,0,22,50,0,0,0,NA,0,0,22,22,22,0,50,0,50,0,10,0,10,10,10,NA,0,5,10,0,0,5,0,0,0,10,0,60,"Fair",10,"Poor"
75,"YEL","161",10,8,526,1,4,6,4,8,1.52091254752852,0,0,8,0,41.8250950570342,1.52091254752852,3.7037037037037,518,239.814814814815,0,69.0114068441065,1.52091254752852,1.52091254752852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
76,"YEL","178",9,166,213,4,3,2,4,175,82.1596244131455,8,3.75586854460094,166,0,3.75586854460094,77.9342723004695,58.3333333333333,38,12.6666666666667,2,4.69483568075117,77.9342723004695,82.1596244131455,0,5,10,5,0,5,0,0,5,0,10,5,10,20,20,20,10,0,55,"Fair",70,"Good"
