"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
3683,617961.443648,4781300.35149,421783,33.5892,11.5296535,0.82711575734547,0.0895442774536342,0.583700800202199,0.942277921380547
3684,617990.056816,4781396.7855,11393,0.907296,0.9414977,0.248263546059649,0.0647930715931491,0.143275398419741,0.394737324681747
3685,617685.349247,4781331.27829,13631,1.08552,74.074295,0.694738651581961,0.0923239513476562,0.49228346210379,0.842321482802826
3686,622572.586125,4781195.09992,17884,1.42422,3.7556374,0.269683312073977,0.0642317795485084,0.16308868286769,0.411677298755502
3687,622500.579941,4781176.61252,236118,18.8036,5.751503,0.581767621172166,0.0761671119442003,0.429592511649222,0.719822566362866
3688,612913.53377,4780897.89677,81028,6.45277,5.7551951,0.360035830814767,0.0571680821830586,0.257022100740825,0.477786371529582
3689,613247.283442,4780661.9846,86384,6.8793,6.1973295,0.369968375052703,0.0564875255363573,0.267502561708805,0.485660364893853
3690,613323.268158,4780605.18691,92062,7.33147,5.8194127,0.375401067141693,0.0563457225944392,0.272870862896459,0.490470128985638
3691,618503.001913,4780671.38869,438923,34.9542,12.0843124,0.842893943835197,0.0872222020474601,0.596034837853718,0.951240627410626
3692,618613.663755,4780504.68448,446608,35.5662,12.1300497,0.848897473502395,0.0863507573095101,0.600259633546348,0.954584062705608
3693,618730.359392,4780528.12586,18513,1.47431,17.1268673,0.344788384156445,0.0635496191444396,0.232655557342433,0.477345993124506
3694,619211.280079,4780482.42736,13045,1.03886,16.2995281,0.332780565402473,0.0646395553398915,0.219905019818598,0.468777831194117
3695,613858.34675,4780429.9208,103514,8.24347,7.9806008,0.404775213430325,0.0543352701137572,0.30414850095727,0.514097691924234
3696,613923.766601,4780422.66894,10649,0.848047,0,0.242886366955906,0.0648083554575774,0.138517259062401,0.390269579275738
3697,619170.800689,4780421.03887,472112,37.5972,12.5892916,0.868401112147226,0.0824927231752885,0.615882543619005,0.964486482343779
3698,619697.389587,4779965.91916,487158,38.7954,12.6471243,0.878279942755721,0.0802401757419465,0.623664750772857,0.969152030945569
