"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for"
208,544187.231664,4815998.04909,13879,1.10527,1.3199859
209,538329.754229,4815517.24067,34573,2.75327,0
210,538162.395358,4815529.7243,31792,2.5318,0
211,545608.175165,4815615.53978,35596,2.83473,1.1347011
212,537906.690951,4815474.18042,27327,2.17622,0
213,538967.076066,4815599.11525,41014,3.2662,0
214,550874.173036,4815767.78214,35455,2.8235,0.2602143
215,537718.159415,4815444.22211,20897,1.66416,0
216,542377.717619,4816169.22996,45693,3.63882,0
217,549501.521579,4815688.35441,53704,4.27679,0.3168686
218,552861.035659,4815339.2844,10994,0.875521,0
219,541686.241451,4815340.32169,31913,2.54143,0
220,539663.368243,4815922.1184,24110,1.92003,0
221,541366.167732,4815193.51526,11849,0.94361,0
222,545294.873517,4815617.44537,31568,2.51396,1.2743927
223,550783.586969,4815452.11986,29824,2.37507,0.2177166
224,537389.839562,4815360.42703,14044,1.11841,0
225,548785.089216,4815327.36358,45342,3.61087,0.1099404
226,547467.286688,4815728.00371,11888,0.946716,2.7202239
227,541431.782536,4815172.05272,16496,1.31368,0
228,538939.050556,4815530.70615,27975,2.22782,0.0040229
229,547703.569142,4815605.50535,13813,1.10002,0.5146562
230,553236.450196,4815000.37636,16949,1.34976,100
231,550476.699469,4815030.97872,24866,1.98024,0.0130032
232,539649.639351,4815131.67867,16813,1.33892,0
233,548837.325669,4814989.46081,40734,3.2439,0.1359533
234,543823.052215,4815090.11227,10450,0.832199,0.0011069
235,538609.433018,4814849.63521,13600,1.08305,0.0019456
236,552938.335434,4814362.24656,31848,2.53626,3.6898081
237,541440.706452,4814713.22128,8807,0.701357,0
238,550340.603027,4814624.12907,19620,1.56246,0.0001719
239,552771.258233,4814430.08227,23613,1.88045,1.0207361
240,543961.681335,4814960.6477,11073,0.881813,3.2032361
241,553618.146028,4814181.08977,42121,3.35436,3.3978119
242,553806.212838,4814112.95924,56515,4.50064,5.3147216
243,554514.682895,4814152.5615,11006,0.876477,8.6027889
244,553686.241287,4814069.96848,13762,1.09595,12.6231117
245,552383.066255,4814187.8622,15289,1.21756,2.4348257
246,548847.556627,4814520.3516,32836,2.61494,0.0172003
247,548658.369611,4813878.58427,10020,0.797956,0
248,555381.463548,4813753.46516,11494,0.915339,97.7624893
249,548504.713162,4813824.05534,12775,1.01735,0
250,563666.970576,4816606.68331,80046,6.37457,100
251,570611.040556,4816487.70999,11566,0.921073,39.2013168
252,569627.029617,4816339.80026,52195,4.15662,28.1590443
253,568587.25854,4816394.43953,9497,0.756306,49.6517029
254,571175.194143,4816591.26387,15513,1.2354,100
255,565464.857052,4816285.00231,53332,4.24716,23.5893612
256,569426.797028,4816455.35091,49292,3.92543,24.3450699
257,557456.458271,4816250.56111,136399,10.8623,2.7343314
258,557455.227142,4816293.55244,57946,4.6146,0
259,556826.521686,4816267.42467,121482,9.67437,17.7275925
260,557378.589292,4816250.56111,133681,10.6459,3.2265382
261,558582.681634,4816223.53756,31676,2.52256,0
262,559143.967828,4816258.00015,241732,19.2506,0
263,558476.598246,4816170.24586,205141,16.3367,5.630384
264,558942.408261,4815749.91614,248679,19.8039,5.6843128
265,563775.558088,4815806.41707,52093,4.14849,0.0722585
266,566458.162386,4816061.77676,25563,2.03574,31.6347637
267,555270.888118,4815442.08547,9598,0.764349,0
268,561907.112042,4815341.47389,9471,0.754235,1.0794593
269,568848.574415,4815578.7451,9478,0.754793,0.1495209
270,565067.343061,4815675.53786,47762,3.80359,0
271,569811.443646,4816202.13709,11697,0.931506,3.151732
272,559085.907533,4815161.84337,252486,20.107,5.2509408
273,568786.25582,4815544.44871,32082,2.55489,24.8420467
274,566168.877338,4815368.03055,17538,1.39666,35.2202301
275,564758.89863,4815177.3006,11979,0.953963,34.5336647
276,564694.638623,4815154.69252,31595,2.51611,100
277,559293.884725,4815090.45204,262632,20.915,4.8591609
278,555933.145831,4814959.64859,20503,1.63278,0
279,556243.562102,4814975.0814,26726,2.12836,0
280,561189.332281,4814920.77917,10713,0.853143,4.4286795
281,566116.452386,4815045.83246,12416,0.988764,34.3849869
282,560505.115708,4814895.73743,17884,1.42422,9.2052965
283,568332.091578,4815060.14875,23790,1.89455,6.0777507
284,567839.034067,4814742.41932,15241,1.21374,0.7126641
285,559270.911828,4814697.79974,10386,0.827102,0.2349747
286,559414.951651,4814668.70473,270648,21.5534,4.2724624
287,561751.538981,4814992.19757,81852,6.51839,5.879559
288,557045.524578,4814572.86492,38633,3.07659,0.000846
289,557172.471228,4814457.95292,47693,3.79809,0
290,557206.598548,4814337.71478,52170,4.15462,0
291,562235.604281,4814513.77255,73409,5.84602,0.3617305
292,562829.881845,4814266.33169,62003,4.93769,0
293,561022.19814,4814154.65101,30978,2.46697,7.7189555
294,562890.63901,4814017.28811,51242,4.08072,0
295,564321.81014,4814403.12713,21210,1.68909,0.9036496
296,561090.111278,4814009.22069,25511,2.0316,7.756609
297,560020.548777,4813885.7234,289428,23.049,7.7517591
298,557294.878626,4813891.35523,58604,4.667,90.9481812
299,562975.841395,4813963.16208,9433,0.751209,0.0048915
300,559757.280339,4813417.45437,165717,13.1971,2.1834776
301,557456.933446,4813374.34824,65121,5.18599,3.7203934
302,564702.05647,4813491.12694,8986,0.715612,0
303,560041.250496,4813397.8183,18622,1.48299,1.0091983
304,559674.837411,4813454.19889,162053,12.9053,100
305,556915.535072,4813232.76055,9912,0.789355,100
306,562667.131114,4813865.32471,27910,2.22265,0.0082894
307,560154.158039,4813271.84995,14970,1.19216,0.8615885
308,561382.03104,4813432.27283,16844,1.34139,0
309,562599.686318,4812990.76153,11371,0.905544,0
310,562869.473613,4813669.10427,21607,1.7207,0
311,559705.0762,4813178.43662,35189,2.80232,0.8217397
312,562466.416661,4812949.99811,9110,0.725486,0
313,559489.556483,4813223.51221,125327,9.98058,1.8049351
314,556767.434138,4812605.63061,31212,2.48561,0
315,556808.212338,4812431.64786,25773,2.05247,0.9564232
316,560383.631865,4812823.75357,9705,0.77287,100
317,556736.584403,4812292.94749,11795,0.93931,1.2179445
318,558842.342406,4811887.98939,100132,7.97414,0.8413081
319,558878.038069,4811860.81954,9168,0.730105,0
320,560128.962181,4812191.42543,25618,2.04012,1.0976311
321,556326.723451,4811949.97974,26330,2.09682,0.1714844
322,556513.405712,4812261.57071,13320,1.06076,0.7585329
323,560928.204286,4811393.61644,11790,0.938912,0.4823783
324,558656.675501,4811597.23573,95881,7.63561,0.8568403
325,558522.866218,4811117.5247,87290,6.95145,0
326,558635.018975,4811005.37194,62038,4.94048,0
327,559489.198091,4810586.36764,18193,1.44882,0.0018294
328,558832.813896,4810854.1023,39854,3.17382,0.084868
329,558619.244509,4810930.88023,24102,1.91939,3.3029246
330,560020.299301,4810575.53836,11891,0.946955,0.0027959
331,558806.646742,4810746.46755,20246,1.61232,0.4752178
332,559219.942991,4810553.70571,24572,1.95682,0
333,559018.720956,4810506.1839,32950,2.62402,0.1004882
334,556629.522936,4810271.2258,12423,0.989321,0
335,558585.333629,4809505.86549,9549,0.760447,0
336,558137.353052,4810285.22277,15235,1.21326,0
337,571127.419646,4814317.22628,13020,1.03686,0
338,572327.016039,4814476.61209,29587,2.3562,0
339,571444.036122,4814206.98437,17862,1.42246,0
340,571783.362531,4814358.69094,23004,1.83195,0
341,572934.410998,4814179.1794,38599,3.07388,0
342,569640.312102,4813760.75709,14224,1.13275,1.5706081
343,573534.956398,4813748.71344,48983,3.90082,12.7122717
344,574051.822121,4813714.08429,568274,45.2552,6.200561
345,574669.386338,4813957.11473,584165,46.5207,6.9075518
346,569781.396444,4813493.6609,19792,1.57616,0
347,569943.364887,4813466.13492,157959,12.5793,6.9682369
348,572730.243686,4813537.69068,490882,39.092,4.3482347
349,566793.286219,4813433.03359,11133,0.886591,0.0002838
350,567269.951442,4813433.07496,21123,1.68216,0.2620732
351,567826.536437,4813218.6746,27721,2.2076,0.2418075
352,569672.173466,4813484.14718,137126,10.9202,7.6898398
353,569094.170214,4813180.73405,129214,10.2901,8.0136967
354,570290.350406,4813113.89324,164701,13.1162,6.8638978
355,570511.540128,4813037.95139,170026,13.5402,6.6443906
356,573102.759972,4813091.37821,497122,39.5889,4.3328476
357,568598.652667,4813037.95139,118015,9.39828,8.8442745
358,567837.311977,4813198.30052,80993,6.44998,12.8751345
359,573622.3272,4813726.08968,514483,40.9715,5.6058149
360,573460.58336,4812895.16874,505252,40.2364,4.3540459
361,574044.763476,4813581.2495,9326,0.742688,27.0250988
362,572274.121453,4813249.47837,479659,38.1983,4.4348421
363,567492.668963,4812919.35303,73695,5.8688,14.1004429
364,570696.86125,4812854.10772,177652,14.1475,6.3422141
365,572000.285217,4812694.42187,467361,37.2189,0
366,571089.760021,4812668.2658,441732,35.1779,0
367,571666.274397,4812659.9957,459753,36.613,4.6009741
368,571423.186744,4812644.54044,445412,35.471,4.5610671
369,567302.214654,4812484.32107,67544,5.37895,15.3633251
370,571438.961996,4812614.57772,9641,0.767773,100
371,567169.744159,4812298.65462,63264,5.03811,16.617157
372,570618.141895,4812802.16011,259963,20.7025,1.9867228
373,570383.33503,4812283.60366,246813,19.6553,1.932219
374,570119.161946,4812172.34676,18679,1.48753,13.2339201
375,565805.032764,4811777.71419,12316,0.9808,0
376,566936.334103,4812208.98142,54788,4.36311,19.4448242
377,570393.15919,4812097.67058,227172,18.0911,0.3430514
378,570425.58521,4812195.74167,8922,0.710515,0.1920536
379,566018.216393,4811638.73418,18130,1.44381,30.1054058
380,566347.14859,4811530.01667,22575,1.79779,23.0165634
381,569732.830445,4811395.95087,214106,17.0506,0.3743178
382,569427.470085,4811177.99666,203577,16.2121,0
383,567936.144712,4810740.64496,12626,1.00549,0.204747
384,569383.062093,4811073.01038,198272,15.7896,0.3722157
385,566180.004679,4811372.61892,20149,1.60459,32.3307877
386,568954.923874,4810685.60717,188527,15.0136,0
387,568877.394934,4810651.13128,183591,14.6205,0.4141586
388,568680.38505,4810648.55043,24730,1.96941,0.2748486
389,568757.212118,4810617.63859,158319,12.6079,0.4598133
390,567250.202177,4809789.64601,69720,5.55224,0.698552
391,566916.530341,4809809.44977,57184,4.55392,0
392,566170.375669,4809620.09161,44382,3.53442,0.4577757
393,566401.860629,4809649.74779,47503,3.78296,0.3694253
394,567861.363953,4809554.01805,102074,8.12879,0.7531213
395,568605.106372,4810267.17787,125972,10.0319,0.6019754
396,568654.936587,4810274.41173,30468,2.42636,0
397,567943.982899,4809544.61518,14334,1.14151,0
398,569122.693707,4809530.85245,8815,0.701994,0
399,565855.318706,4809636.10708,36930,2.94097,0
400,567204.901404,4809692.33276,24601,1.95913,0
401,565274.816499,4809326.61792,10292,0.819617,0
402,565637.931069,4809280.98281,17165,1.36696,0
403,565675.684013,4809282.46573,18363,1.46236,0
404,565626.934472,4809132.33311,9835,0.783223,0
405,568016.296222,4809381.33787,9770,0.778046,0
406,569046.198267,4809398.26178,14079,1.1212,0
407,570703.278337,4808714.20898,11008,0.876636,0
408,572225.604603,4808679.37976,10260,0.817068,0
409,573117.060357,4808360.21165,15278,1.21668,0
410,572789.979907,4808323.39114,22622,1.80153,0
411,573112.104197,4808272.58031,110510,8.80061,0.1475218
412,571219.813723,4808230.83846,19784,1.57552,0
413,571656.290506,4808242.53925,57625,4.58904,0
414,571158.758829,4808138.72158,34553,2.75167,0.3394104
415,573763.129747,4808044.65409,15835,1.26104,0
416,574039.966827,4807970.49793,151112,12.034,0.3297677
417,574392.994009,4807933.39209,166645,13.271,1.6530514
418,573722.947096,4807884.36494,132761,10.5726,0.3669235
419,571741.609592,4807890.8776,62370,4.96691,0.2491505
420,572805.753842,4808234.36775,85902,6.84092,0.1655086
421,572536.934099,4807844.23235,79453,6.32734,0.1818484
422,572261.058589,4807871.0041,70502,5.61452,0.212293
423,574628.749586,4807767.49634,170626,13.588,2.9303043
424,575090.402919,4807737.14536,180987,14.4131,4.7062674
425,574048.730996,4807933.49547,11636,0.926648,25.632761
426,575787.761079,4807506.22112,195600,15.5769,0
427,570426.905186,4808085.83807,20128,1.60292,0.2198859
428,576190.434864,4807313.53625,215737,17.1805,6.7951121
429,576274.319673,4807273.10174,218919,17.4339,6.6885891
430,580042.523006,4807915.62368,16340,1.30126,0
431,578244.833897,4807167.7238,260296,20.729,5.8314791
432,575791.579499,4807295.95453,15812,1.25921,100
433,579787.37031,4807018.64473,290014,23.0956,9.4671478
434,577898.142212,4807016.74291,255699,20.3629,5.7390242
435,579044.318603,4806992.92166,273491,21.7798,8.3595219
436,576635.720013,4806889.37335,226274,18.0196,6.4113216
437,567810.877859,4806855.91215,12911,1.02818,0.0068924
438,577023.045465,4806817.98203,234508,18.6753,6.1222978
439,577217.387737,4806788.00146,238048,18.9573,0
440,577538.522745,4806889.80579,246780,19.6526,5.9391918
441,579310.321109,4806916.1451,280694,22.3534,9.2344151
442,570714.585437,4806720.72806,11312,0.900846,0.0016853
443,567394.650793,4806465.15384,13859,1.10368,0
444,567449.459266,4806377.14058,18398,1.46515,0
445,570922.471145,4806366.17527,20348,1.62044,0
446,572333.364485,4806440.07367,321813,25.628,0
447,567688.892793,4806229.85703,22932,1.82622,0
448,572849.017945,4806206.10421,331386,26.3903,0
449,567975.365556,4806153.75504,28359,2.25841,0
