"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
119,"YEL","109",4,0,129,1,2,3,0,70,54.2635658914729,0,0,0,NA,0,0,52.2388059701493,59,44.0298507462687,10,0,5,10,5,NA,0,5,10,0,5,5,55,"Fair"
120,"YEL","118",9,0,60,1,5,6,2,8,13.3333333333333,0,0,0,NA,10,0,5.79710144927536,52,37.6811594202899,5,0,0,5,0,NA,0,0,0,0,0,5,15,"Poor"
121,"YEL","118b",8,13,118,2,4,3,3,14,11.864406779661,0,0,13,0,47.4576271186441,11.0169491525424,6.73076923076923,104,50,5,5,5,0,0,0,0,0,0,0,0,5,20,"Poor"
122,"YEL","121",6,0,179,1,2,3,2,22,12.2905027932961,0,0,0,NA,0,0,22,157,157,5,0,5,5,5,NA,0,0,10,0,0,0,30,"Poor"
124,"YEL","140",5,60,80,2,3,2,1,60,75,0,0,60,0,1.25,75,30,20,10,5,5,5,10,5,0,0,5,5,10,0,10,60,"Fair"
125,"YEL","153",13,0,1461,1,5,9,4,1,0.0684462696783025,0,0,0,NA,11.9096509240246,0,0.333333333333333,1460,486.666666666667,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
127,"YEL","157",2,0,37,1,1,1,0,28,75.6756756756757,0,0,0,NA,0,0,14.5833333333333,9,4.6875,10,0,10,10,10,NA,0,5,10,0,0,10,65,"Fair"
128,"YEL","165",15,17,739,1,6,9,5,17,2.30040595399188,0,0,17,0,41.1366711772666,2.30040595399188,5.66666666666667,722,240.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
129,"YEL","168",4,92,128,1,2,1,2,92,71.875,0,0,92,0,5.46875,71.875,30.6666666666667,36,12,10,0,10,5,5,0,0,5,0,5,0,10,50,"Fair"
131,"YEL","173",7,0,173,1,3,2,3,11,6.35838150289017,0,0,0,NA,4.6242774566474,0,6.11111111111111,162,90,5,0,5,0,5,NA,0,0,0,0,0,0,15,"Poor"
133,"YEL","189",5,0,40,1,3,3,1,2,5,0,0,0,NA,0,0,1.25,38,23.75,5,0,5,10,5,NA,0,0,10,0,0,5,40,"Fair"
135,"LMAQ","8",6,37,84,3,2,2,2,49,58.3333333333333,2,2.38095238095238,37,0,0,44.047619047619,24.5,35,17.5,5,5,5,5,5,0,0,5,10,5,0,5,50,"Fair"
136,"LMAQ","9",5,0,134,1,3,4,0,9,6.71641791044776,0,0,0,NA,0,0,7.25806451612903,125,100.806451612903,5,0,0,10,5,NA,0,0,10,0,0,0,30,"Poor"
137,"LMAQ","15",6,88,91,3,2,1,2,88,96.7032967032967,1,1.0989010989011,88,1.13636363636364,1.0989010989011,96.7032967032967,47.8260869565217,3,1.6304347826087,5,5,10,5,5,0,0,10,5,10,5,10,70,"Good"
138,"LMAQ","20",6,15,56,2,2,3,1,17,30.3571428571429,0,0,15,0,0,26.7857142857143,13.28125,39,30.46875,5,5,5,10,5,0,0,0,10,0,0,5,45,"Fair"
139,"LMAQ","22",4,0,77,1,2,2,1,3,3.8961038961039,0,0,0,NA,0,0,3,74,74,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
140,"LMAQ","23",2,22,122,2,0,0,1,122,100,100,81.9672131147541,22,0,0,18.0327868852459,108.928571428571,0,0,10,5,10,10,10,0,10,10,10,0,10,10,95,"Good"
141,"LMAQ","26",6,32,54,3,1,1,1,34,62.962962962963,0,0,32,0,0,59.2592592592593,22.6666666666667,20,13.3333333333333,5,5,10,10,10,0,0,5,10,5,0,10,70,"Good"
