"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
1532,594879.659374,4800480.46793,44603,3.55202,32.7699966,0.146637409036561,0.0327155501983512,0.0933298263192845,0.22290724081137
1533,597848.77869,4800421.18331,18709,1.48992,0.0314629,0.084092283847752,0.0305489098877333,0.0404893281798641,0.166503107641493
1534,598333.722272,4800362.11507,30796,2.45248,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1535,597922.73596,4800383.51794,43467,3.46155,0.1864086,0.0843210403250089,0.0305511641693628,0.0406771562928829,0.166656932509932
1536,598571.21933,4800489.29951,11565,0.920994,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1537,597856.534244,4800256.19444,62395,4.96891,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1538,596062.427007,4800214.28428,12117,0.964953,18.3216724,0.115287390344953,0.0306561759758867,0.0674255475646105,0.190194940901441
1539,597415.151134,4800241.05603,71332,5.68062,0.1268439,0.084233030627457,0.0305503064965444,0.0406048701095746,0.166597777009028
1540,595802.040106,4799685.52672,20118,1.60212,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1541,597055.574725,4799540.10174,83409,6.64238,3.8616717,0.0899151409220939,0.0305819914189454,0.0453403727253945,0.170486113873238
1542,594741.826857,4799446.1183,54948,4.37585,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1543,594910.048371,4799266.29522,57584,4.58578,29.5304279,0.13904516957242,0.0318773841274241,0.087451889503101,0.213940424379117
1544,597123.676573,4799428.97968,15120,1.2041,22.2295647,0.123140780135474,0.0308629554448302,0.0742454938772484,0.197371535979418
1545,595364.696759,4799199.69536,26564,2.11546,42.0152283,0.170198417044077,0.0369920570506677,0.109331573334199,0.255240330728413
1546,595278.690918,4798933.53302,34829,2.77365,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1547,596650.229354,4798815.09134,106435,8.47609,9.8259563,0.099706917484259,0.0305741893971553,0.0537557037161996,0.177566856573161
1548,595389.51656,4798451.08759,10351,0.824315,81.1098099,0.30242939270257,0.0927360549311324,0.154816397797262,0.506450179652871
1549,595185.325015,4798305.93318,14273,1.13665,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1550,596786.340364,4798036.35647,117431,9.35177,13.7997837,0.106747191348009,0.0305761832302494,0.0599231341886758,0.183035876699808
1551,594181.441343,4797616.64061,11914,0.948787,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1552,596760.060953,4797605.19622,129333,10.2996,19.4965305,0.117601487292498,0.0307012841074087,0.0694475274226135,0.192246738360751
1553,599058.397015,4797339.68327,15033,1.19717,0.5483749,0.0848576406986708,0.0305561009953132,0.0411187507278826,0.167018618020054
1554,595983.680272,4796943.81049,11770,0.937319,9.4593458,0.0990786484580159,0.0305752430712009,0.0532086885108496,0.177095502910161
1555,595555.33231,4796930.59022,9552,0.760686,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1556,595795.254164,4797038.3941,16338,1.3011,6.5343266,0.0941910282768107,0.0305832786892062,0.0489825639399614,0.173511947920706
1557,594231.270129,4796983.82673,31465,2.50576,29.0609131,0.137972593099642,0.0317788493272593,0.0865963681866707,0.212730587600815
1558,593479.564741,4796805.34842,19454,1.54924,96.1574783,0.366405550215202,0.125976096867397,0.166417914277776,0.62618709921032
1559,593090.438594,4796718.45292,12023,0.957467,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1560,596172.56732,4796632.76428,140174,11.1629,21.3376083,0.121308743179066,0.0308003866890752,0.0726664853773373,0.195642312408102
1561,596388.515643,4796368.24725,11088,0.883007,0.8002698,0.0852328990506223,0.0305592712534939,0.0414283056347447,0.167272254662672
