"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~1","~MEANT + avdep + mFlow + pctBrBnk + Area_km2","p(~1)Psi(~MEANT + avdep + mFlow + pctBrBnk + Area_km2)",7,392.991188461539,31.1436293917711,1.86579735022009e-08,378.12965
"~effort","~MEANT + mFlow + pctBrBnk","p(~effort)Psi(~MEANT + mFlow + pctBrBnk)",6,393.034951374046,31.1873923042784,1.82541441707545e-08,380.39373
"~1","~MEANT2 + avdep + pctrun + pctBrBnk + Area_km2","p(~1)Psi(~MEANT2 + avdep + pctrun + pctBrBnk + Area_km2)",7,393.084468461539,31.2369093917711,1.78077470181481e-08,378.22293
"~effort","~pctrun + pctBrBnk","p(~effort)Psi(~pctrun + pctBrBnk)",5,393.128045454545,31.280486384778,1.74239394631942e-08,382.6735
"~effort","~MEANT + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT + pctBrBnk + HAiFLS_for)",6,393.129491374046,31.2819323042784,1.74113472086676e-08,380.48827
"~1","~MEANT2 + avdep + mFlow + pctBrBnk + Area_km2","p(~1)Psi(~MEANT2 + avdep + mFlow + pctBrBnk + Area_km2)",7,393.135538461538,31.287979391771,1.73587827442229e-08,378.274
"~effort","~MEANT2 + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT2 + pctBrBnk + HAiFLS_for)",6,393.160631374046,31.3130723042784,1.71423520938352e-08,380.51941
"~effort","~MEANT + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + pctBrBnk + Area_km2)",6,393.395031374046,31.5474723042784,1.52465329871212e-08,380.75381
"~1","~pctrun + Area_km2","p(~1)Psi(~pctrun + Area_km2)",4,393.502941879699,31.6553828099318,1.44457012546725e-08,385.20219
"~1","~pctrun + pctBrBnk + HAiFLS_for","p(~1)Psi(~pctrun + pctBrBnk + HAiFLS_for)",5,393.527205454545,31.679646384778,1.42715078530136e-08,383.07266
"~effort","~MEANT2 + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT2 + pctBrBnk + Area_km2)",6,393.588781374046,31.7412223042784,1.38388123286006e-08,380.94756
"~1","~pctrun + HAiFLS_for","p(~1)Psi(~pctrun + HAiFLS_for)",4,393.642161879699,31.7946028099318,1.34743365407249e-08,385.34141
"~effort","~MEANT + Area_km2","p(~effort)Psi(~MEANT + Area_km2)",5,393.978795454545,32.131236384778,1.13869742428801e-08,383.52425
"~effort","~mFlow","p(~effort)Psi(~mFlow)",4,394.098751879699,32.2511928099318,1.07240821343513e-08,385.798
"~effort","~MEANT2 + Area_km2","p(~effort)Psi(~MEANT2 + Area_km2)",5,394.142495454545,32.294936384778,1.04920737573967e-08,383.68795
"~effort","~pctrun","p(~effort)Psi(~pctrun)",4,394.276491879699,32.4289328099318,9.81215456844503e-09,385.97574
