"newID","HUC8","HUC_10","HUC_12","BRT","BRT_ab","BKT","BKT_ab","LND","LND_ab","SRD","SRD_ab","Cottus","Cottus_ab","LND_CPUE","SRD_CPUE","Cottus_CPUE","BRT_CPUE","SegLen","avwid","avdep","pctfines","pctcbbl","pctrock","mFlow","pctriffle","pctrun","pctpool","BrBank","Canopy","MEANT","HAiFLS_alt","HAiFLS_for"
"UPI_117","UPI",706000206,70600020604,"1",93,"1",6,"0",0,"0",0,"1",23,0,0,8.51851851851852,34.4444444444444,270,3.52083333333333,0.240714285714286,21.9512195121951,73.1707317073171,78.0487804878049,0.187619047619048,29.1666666666667,0.333333333333333,20.8333333333333,0.291666666666667,32.670906200318,16.6258796296296,35.6902733,64.0907898
"UPI_118","UPI",706000202,70600020205,"0",0,"0",0,"1",13,"1",1,"0",0,2.88888888888889,0.222222222222222,0,0,450,5.4375,0.350434782608696,21.7391304347826,76.0869565217391,78.2608695652174,0.361276595744681,16.6666666666667,0.772727272727273,0,1.16666666666667,61.5615615615616,21.9840509259259,83.9352112,5.1532969
"UPI_123","UPI",706000204,70600020405,"1",18,"0",0,"0",0,"0",0,"0",0,0,0,0,4,450,4.45416666666667,0.305454545454545,6.81818181818182,90.9090909090909,93.1818181818182,0.234545454545454,29.1666666666667,0.521739130434783,8.33333333333333,1.08333333333333,88.79173290938,18.4933101851852,72.9326935,23.0814247
"UPI_128","UPI",706000204,70600020403,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,450,3.17083333333333,0.299189189189189,83.7837837837838,5.40540540540541,16.2162162162162,0.26027027027027,4.16666666666667,0.791666666666667,4.16666666666667,1.25,47.3513513513513,18.5765277777778,98.7795792,1.4e-06
"UPI_130","UPI",706000205,70600020503,"1",13,"1",3,"0",0,"0",0,"1",17,0,0,4.72222222222222,3.61111111111111,360,2.925,0.285789473684211,45.945945945946,54.0540540540541,54.0540540540541,0.0673684210526316,16.6666666666667,0.208333333333333,41.6666666666667,0.416666666666667,90.990990990991,18.2037731481481,52.8709679,39.1104546
"UPI_135","UPI",706000202,70600020207,"0",0,"0",0,"0",0,"1",4,"0",0,0,1.66666666666667,0,0,240,1.40833333333333,0.218666666666667,76.6666666666667,20,23.3333333333333,0.198333333333333,20.8333333333333,0.416666666666667,25,0.583333333333333,5.85585585585585,19.2979166666667,93.3201981,4.3185711
"UPI_149","UPI",706000206,70600020602,"1",182,"1",116,"0",0,"0",0,"0",0,0,0,0,40.4444444444444,450,5.43333333333333,0.395531914893617,32.6086956521739,65.2173913043478,67.3913043478261,0.225744680851064,33.3333333333333,0.130434782608696,41.6666666666667,0.458333333333333,46.2462462462462,16.5852546296296,52.608532,43.5465355
"UPI_154","UPI",706000203,70600020302,"1",71,"1",38,"0",0,"0",0,"0",0,0,0,0,20.2279202279202,351,3.92083333333333,0.310810810810811,2.7027027027027,94.5945945945946,97.2972972972973,0.231351351351351,41.6666666666667,0.208333333333333,37.5,0.25,10.6518282988871,18.4892592592593,77.6332779,13.6107121
"UPI_156","UPI",706000202,70600020208,"1",7,"1",20,"0",0,"0",0,"0",0,0,0,0,3.43137254901961,204,3.33333333333333,0.197,15,82.5,85,0.2665,62.5,0.25,12.5,0.583333333333333,97.2222222222222,10.7275925925926,45.4363937,54.1856232
"UPI_157","UPI",706000205,70600020501,"1",159,"1",2,"0",0,"0",0,"1",23,0,0,5.11111111111111,35.3333333333333,450,5.74583333333333,0.432083333333333,45.8333333333333,50,54.1666666666667,0.178125,8.33333333333333,0.521739130434783,4.16666666666667,0.416666666666667,35.1351351351351,19.7186342592593,70.9686203,21.1315403
"UPI_163","UPI",706000205,70600020502,"1",63,"0",0,"0",0,"0",0,"1",99,0,0,55,35,180,4.34583333333333,0.247555555555556,8.88888888888889,88.8888888888889,91.1111111111111,0.135333333333333,25,0.375,25,0.5,72.8185328185328,18.1166898148148,59.1982231,40.6095695
"UPI_170","UPI",706000205,70600020503,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,1.84583333333333,0.116666666666667,33.3333333333333,66.6666666666667,66.6666666666667,0.0875,0,0.458333333333333,54.1666666666667,0.625,95.4954954954955,19.8069907407407,30.5983658,69.2333908
"UPI_14b","UPI",706000206,70600020606,"1",20,"0",0,"0",0,"0",0,"0",0,0,0,0,6.66666666666667,300,2.57083333333333,0.339375,62.5,28.125,37.5,0.3084375,25,0.416666666666667,33.3333333333333,0,0,18.140162037037,34.1191406,64.087616
"UPI_32b","UPI",706000204,70600020406,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,1.98333333333333,0.303421052631579,18.4210526315789,65.7894736842105,81.5789473684211,0.310263157894737,8.33333333333333,0.91304347826087,0,0.416666666666667,7.05705705705707,20.1396759259259,95.5999222,2.6046841
"UPI_57b","UPI",706000202,70600020204,"0",0,"0",0,"0",0,"1",2,"0",0,0,0.952380952380952,0,0,210,3.00833333333333,0.364411764705882,81.25,18.75,18.75,0.104411764705882,12.5,0.291666666666667,45.8333333333333,3.16666666666667,39.4144144144144,23.8612037037037,88.2332001,8.9146099
"UPI_201","UPI",706000203,70600020301,"1",50,"0",0,"0",0,"0",0,"0",0,0,0,0,17.0068027210884,294,4.625,0.171111111111111,3.7037037037037,85.1851851851852,96.2962962962963,0.253428571428571,45.8333333333333,0.291666666666667,12.5,0,68.993993993994,14.2394444444444,72.340271,19.5544434
"UPI_202","UPI",706000202,70600020204,"1",46,"0",0,"0",0,"0",0,"0",0,0,0,0,17.037037037037,270,2.85,0.202424242424242,12.1212121212121,87.8787878787879,87.8787878787879,0.512727272727273,66.6666666666667,0.304347826086957,0,0.35,67.381174277726,17.0815972222222,62.7959518,30.7904701
